sex,age_group_start,age_group_end,location,mean,standard_error,lower,upper,sample_size,measure,recall_type,recall_type_value,visit_type,uncertainty_type,uncertainty_type_value,sd_individual_heterogeneity
Female,0,1,China,3.52941177,1.75692702,0.08589809,6.97292544,15,continuous,Period: weeks,52,op_avg,Standard error,95,3.872983346
Male,0,1,China,1.341379,0.82878151,0,2.9657609,912,continuous,Period: weeks,52,op_avg,Standard error,95,30.19933774
Male,1,10,China,1.83333333,0.46866855,0.91475986,2.7519068,1154,continuous,Period: weeks,52,op_avg,Standard error,95,33.9705755
Male,10,20,China,1.7,0.44188988,0.83391175,2.56608825,1024,continuous,Period: weeks,52,op_avg,Standard error,95,32
Female,15,20,China,1.71428571,1.36200602,0,4.38376846,6,continuous,Period: weeks,52,op_avg,Standard error,95,2.449489743
Female,20,25,China,1.71428571,0.6429921,0.45404435,2.97452708,10,continuous,Period: weeks,52,op_avg,Standard error,95,3.16227766
Male,20,25,China,0.79166667,0.18749464,0.42418392,1.15914941,863,continuous,Period: weeks,52,op_avg,Standard error,95,29.37686164
Female,25,30,China,1.67653663,0.32579611,1.037988,2.31508526,7,continuous,Period: weeks,52,op_avg,Standard error,95,2.645751311
Male,25,30,China,2.40540541,0.74342237,0.94832434,3.86248647,796,continuous,Period: weeks,52,op_avg,Standard error,95,28.21347196
Female,30,35,China,1.52564103,0.25218425,1.03136898,2.01991307,21,continuous,Period: weeks,52,op_avg,Standard error,95,4.582575695
Male,30,35,China,1.06001317,0.27262604,0.52567596,1.59435039,5,continuous,Period: weeks,52,op_avg,Standard error,95,2.236067977
Female,35,40,China,1.69444444,0.20654093,1.28963166,2.09925723,24,continuous,Period: weeks,52,op_avg,Standard error,95,4.898979486
Male,35,40,China,1.30337079,0.26074266,0.79232457,1.814417,778,continuous,Period: weeks,52,op_avg,Standard error,95,27.89265136
Female,40,45,China,1.50306749,0.19304805,1.12470026,1.88143471,46,continuous,Period: weeks,52,op_avg,Standard error,95,6.782329983
Male,40,45,China,1.32876712,0.19080933,0.95478771,1.70274654,689,continuous,Period: weeks,52,op_avg,Standard error,95,26.2488095
Female,45,50,China,2.4754902,0.35479735,1.78010017,3.17088023,37,continuous,Period: weeks,52,op_avg,Standard error,95,6.08276253
Male,45,50,China,1.71325428,0.17292277,1.37433189,2.05217668,671,continuous,Period: weeks,52,op_avg,Standard error,95,25.90366769
Female,50,55,China,2.82760113,0.21410416,2.40796469,3.24723758,78,continuous,Period: weeks,52,op_avg,Standard error,95,8.831760866
Male,50,55,China,2.05877569,0.19424556,1.67806139,2.43948998,634,continuous,Period: weeks,52,op_avg,Standard error,95,25.17935662
Female,55,60,China,3.00038841,0.26477208,2.48144468,3.51933214,52,continuous,Period: weeks,52,op_avg,Standard error,95,7.211102551
Male,55,60,China,2.27281451,0.16633586,1.94680222,2.59882679,469,continuous,Period: weeks,52,op_avg,Standard error,95,21.65640783
Female,60,65,China,2.75380578,0.26160907,2.24106142,3.26655013,144,continuous,Period: weeks,52,op_avg,Standard error,95,12
Male,60,65,China,2.78342139,0.26950673,2.25519791,3.31164486,457,continuous,Period: weeks,52,op_avg,Standard error,95,21.37755833
Female,65,70,China,3.06967462,0.26170591,2.55674047,3.58260876,89,continuous,Period: weeks,52,op_avg,Standard error,95,9.433981132
Male,65,70,China,2.75541762,0.26454194,2.23692494,3.2739103,228,continuous,Period: weeks,52,op_avg,Standard error,95,15.09966887
Female,70,75,China,3.17801523,0.3550811,2.48206907,3.8739614,163,continuous,Period: weeks,52,op_avg,Standard error,95,12.76714533
Male,70,75,China,3.12985416,0.28056145,2.57996381,3.6797445,193,continuous,Period: weeks,52,op_avg,Standard error,95,13.89244399
Female,75,80,China,4.17075941,0.4558072,3.27739372,5.06412511,146,continuous,Period: weeks,52,op_avg,Standard error,95,12.08304597
Male,75,80,China,3.51029945,0.3490539,2.82616639,4.19443252,61,continuous,Period: weeks,52,op_avg,Standard error,95,7.810249676
Female,80,85,China,3.81495735,0.50833258,2.8186438,4.81127089,204,continuous,Period: weeks,52,op_avg,Standard error,95,14.28285686
Male,80,85,China,3.7013578,0.55122892,2.62096897,4.78174662,65,continuous,Period: weeks,52,op_avg,Standard error,95,8.062257748
Female,85,90,China,4.35217607,0.71839369,2.94415032,5.76020182,160,continuous,Period: weeks,52,op_avg,Standard error,95,12.64911064
Male,85,90,China,3.71140569,0.87908403,1.98843266,5.43437873,14,continuous,Period: weeks,52,op_avg,Standard error,95,3.741657387
Female,90,100,China,7.07142857,1.93280947,3.28319161,10.8596655,1151,continuous,Period: weeks,52,op_avg,Standard error,95,33.92639091
Male,90,100,China,4.94942467,1.40915486,2.18753191,7.71131744,15,continuous,Period: weeks,52,op_avg,Standard error,95,3.872983346
Female,15,20,India,2.73125228,0.3066477,2.13023384,3.33227072,226,continuous,Period: weeks,52,op_avg,Standard error,95,15.03329638
Male,15,20,India,4.48135498,1.0167995,2.48846459,6.47424537,586,continuous,Period: weeks,52,op_avg,Standard error,95,24.20743687
Female,20,25,India,2.4273952,0.1965132,2.0422364,2.81255399,10,continuous,Period: weeks,52,op_avg,Standard error,95,3.16227766
Male,20,25,India,1.99345964,0.21026541,1.58134702,2.40557226,529,continuous,Period: weeks,52,op_avg,Standard error,95,23
Female,25,30,India,2.86563466,0.25927572,2.35746359,3.37380574,460,continuous,Period: weeks,52,op_avg,Standard error,95,21.44761059
Male,25,30,India,1.66143886,0.2259739,1.21853816,2.10433957,516,continuous,Period: weeks,52,op_avg,Standard error,95,22.71563338
Female,30,35,India,2.64869745,0.15790349,2.3392123,2.95818261,109,continuous,Period: weeks,52,op_avg,Standard error,95,10.44030651
Male,30,35,India,2.74931359,0.40231921,1.96078243,3.53784476,439,continuous,Period: weeks,52,op_avg,Standard error,95,20.95232684
Female,35,40,India,3.24148464,0.26339035,2.72524904,3.75772023,486,continuous,Period: weeks,52,op_avg,Standard error,95,22.04540769
Male,35,40,India,3.65501244,0.40524875,2.86073949,4.4492854,503,continuous,Period: weeks,52,op_avg,Standard error,95,22.42766149
Female,40,45,India,3.01941054,0.21855183,2.59105682,3.44776426,108,continuous,Period: weeks,52,op_avg,Standard error,95,10.39230485
Male,40,45,India,3.00957322,0.43723176,2.15261472,3.86653173,292,continuous,Period: weeks,52,op_avg,Standard error,95,17.08800749
Female,45,50,India,3.46782756,0.29006238,2.89931574,4.03633939,568,continuous,Period: weeks,52,op_avg,Standard error,95,23.83275058
Male,45,50,India,2.30278101,0.21606223,1.87930682,2.72625521,356,continuous,Period: weeks,52,op_avg,Standard error,95,18.86796226
Female,50,55,India,3.56977116,0.25304414,3.07381375,4.06572857,109,continuous,Period: weeks,52,op_avg,Standard error,95,10.44030651
Male,50,55,India,2.97419816,0.21525801,2.55230021,3.39609611,136,continuous,Period: weeks,52,op_avg,Standard error,95,11.66190379
Female,55,60,India,3.35978113,0.29030121,2.79080122,3.92876105,597,continuous,Period: weeks,52,op_avg,Standard error,95,24.43358345
Male,55,60,India,3.24717581,0.33097186,2.59848289,3.89586873,183,continuous,Period: weeks,52,op_avg,Standard error,95,13.52774926
Female,60,65,India,3.70699649,0.50134771,2.72437304,4.68961994,179,continuous,Period: weeks,52,op_avg,Standard error,95,13.37908816
Male,60,65,India,3.4734788,0.31845351,2.84932139,4.09763622,82,continuous,Period: weeks,52,op_avg,Standard error,95,9.055385138
Female,65,70,India,3.22403264,0.2417425,2.75022605,3.69783924,500,continuous,Period: weeks,52,op_avg,Standard error,95,22.36067977
Male,65,70,India,3.20133753,0.28459025,2.64355088,3.75912418,101,continuous,Period: weeks,52,op_avg,Standard error,95,10.04987562
Female,70,75,India,3.2833686,0.30254529,2.69039074,3.87634647,173,continuous,Period: weeks,52,op_avg,Standard error,95,13.15294644
Male,70,75,India,4.63047975,0.83987688,2.98435132,6.27660817,30,continuous,Period: weeks,52,op_avg,Standard error,95,5.477225575
Female,75,80,India,4.00766367,0.71999233,2.59650463,5.41882271,394,continuous,Period: weeks,52,op_avg,Standard error,95,19.84943324
Male,75,80,India,3.18445777,0.37257806,2.4542182,3.91469735,35,continuous,Period: weeks,52,op_avg,Standard error,95,5.916079783
Female,80,85,India,4.14108688,0.59964873,2.96579697,5.31637679,191,continuous,Period: weeks,52,op_avg,Standard error,95,13.82027496
Male,80,85,India,4.15814102,0.78671025,2.61621726,5.70006478,18,continuous,Period: weeks,52,op_avg,Standard error,95,4.242640687
Female,85,90,India,2.63020884,0.6024297,1.44946832,3.81094935,737,continuous,Period: weeks,52,op_avg,Standard error,95,27.14774392
Male,85,90,India,2.68033115,0.57747409,1.54850272,3.81215957,13,continuous,Period: weeks,52,op_avg,Standard error,95,3.605551275
Female,90,95,India,3.25518184,1.31282522,0.6820917,5.82827199,590,continuous,Period: weeks,52,op_avg,Standard error,95,24.2899156
Male,90,95,India,4.59128179,1.57423455,1.50583876,7.67672482,6,continuous,Period: weeks,52,op_avg,Standard error,95,2.449489743
Female,95,100,India,1.45353136,0.74581474,0,2.91530139,663,continuous,Period: weeks,52,op_avg,Standard error,95,25.74878638
Male,95,100,India,1.50714845,1.43044475,0,4.31076864,6,continuous,Period: weeks,52,op_avg,Standard error,95,2.449489743
Male,0,0.016,Russian Federation,11.5212333,1.5573813,8.46882209,14.5736446,143968965,continuous,Period: weeks,52,op_avg,Standard error,95,11998.70681
Male,0.016,0.076,Russian Federation,11.5223265,1.54363308,8.49686124,14.5477917,143968965,continuous,Period: weeks,52,op_avg,Standard error,95,11998.70681
