sex,age_group_start,age_group_end,location,mean,standard_error,lower,upper,sample_size,measure,recall_type,recall_type_value,visit_type,uncertainty_type,uncertainty_type_value,sd_individual_heterogeneity
Male,0.076,0.99,Russian Federation,11.536211,1.55887924,8.48086388,14.5915582,143968965,continuous,Period: weeks,52,op_avg,Standard error,95,11998.70681
Male,1,4,Russian Federation,11.6452276,1.4878347,8.72912521,14.5613301,143968965,continuous,Period: weeks,52,op_avg,Standard error,95,11998.70681
Male,5,9,Russian Federation,11.5567715,1.44642468,8.72183122,14.3917118,143968965,continuous,Period: weeks,52,op_avg,Standard error,95,11998.70681
Male,10,14,Russian Federation,10.9611314,1.52498736,7.97221109,13.9500517,143968965,continuous,Period: weeks,52,op_avg,Standard error,95,11998.70681
Male,15,19,Russian Federation,9.95985169,1.32929361,7.35448409,12.5652193,143968965,continuous,Period: weeks,52,op_avg,Standard error,95,11998.70681
Male,20,24,Russian Federation,8.9172363,1.29496214,6.37915715,11.4553155,143968965,continuous,Period: weeks,52,op_avg,Standard error,95,11998.70681
Male,25,29,Russian Federation,8.22700159,1.30756587,5.66421957,10.7897836,143968965,continuous,Period: weeks,52,op_avg,Standard error,95,11998.70681
Male,30,34,Russian Federation,7.89120842,1.23949117,5.46185036,10.3205665,143968965,continuous,Period: weeks,52,op_avg,Standard error,95,11998.70681
Male,35,39,Russian Federation,7.91046607,1.20938916,5.54010687,10.2808253,143968965,continuous,Period: weeks,52,op_avg,Standard error,95,11998.70681
Male,40,44,Russian Federation,8.21317684,1.26325931,5.73723408,10.6891196,143968965,continuous,Period: weeks,52,op_avg,Standard error,95,11998.70681
Male,45,49,Russian Federation,8.65864623,1.29915811,6.11234312,11.2049493,143968965,continuous,Period: weeks,52,op_avg,Standard error,95,11998.70681
Male,50,54,Russian Federation,9.39136519,1.39466562,6.6578708,12.1248596,143968965,continuous,Period: weeks,52,op_avg,Standard error,95,11998.70681
Male,55,59,Russian Federation,10.3288009,1.52511386,7.33963268,13.3179692,143968965,continuous,Period: weeks,52,op_avg,Standard error,95,11998.70681
Male,60,64,Russian Federation,11.3212804,1.79835828,7.79656295,14.8459979,143968965,continuous,Period: weeks,52,op_avg,Standard error,95,11998.70681
Male,65,69,Russian Federation,12.5314609,2.04607989,8.52121804,16.5417038,143968965,continuous,Period: weeks,52,op_avg,Standard error,95,11998.70681
Male,70,74,Russian Federation,14.1229679,2.10461613,9.99799608,18.2479397,143968965,continuous,Period: weeks,52,op_avg,Standard error,95,11998.70681
Male,75,79,Russian Federation,15.9231952,2.29768681,11.4198118,20.4265786,143968965,continuous,Period: weeks,52,op_avg,Standard error,95,11998.70681
Male,80,84,Russian Federation,17.6721653,2.54280955,12.6883502,22.6559805,143968965,continuous,Period: weeks,52,op_avg,Standard error,95,11998.70681
Male,85,89,Russian Federation,19.1409141,2.71298049,13.82357,24.4582581,143968965,continuous,Period: weeks,52,op_avg,Standard error,95,11998.70681
Male,90,94,Russian Federation,20.3251351,3.20404357,14.0453252,26.6049451,143968965,continuous,Period: weeks,52,op_avg,Standard error,95,11998.70681
Male,95,100,Russian Federation,21.5398917,3.81135311,14.0697769,29.0100065,143968965,continuous,Period: weeks,52,op_avg,Standard error,95,11998.70681
Female,0,0.016,Russian Federation,12.1030279,1.19008193,9.77051019,14.4355456,143968965,continuous,Period: weeks,52,op_avg,Standard error,95,11998.70681
Female,0.016,0.076,Russian Federation,12.1045393,1.1940435,9.76425702,14.4448216,143968965,continuous,Period: weeks,52,op_avg,Standard error,95,11998.70681
Female,0.076,0.99,Russian Federation,12.1238465,1.12222098,9.92433382,14.3233592,143968965,continuous,Period: weeks,52,op_avg,Standard error,95,11998.70681
Female,1,4,Russian Federation,12.2097634,1.11077177,10.0326908,14.3868361,143968965,continuous,Period: weeks,52,op_avg,Standard error,95,11998.70681
Female,5,9,Russian Federation,12.2797823,1.18212102,9.9628677,14.596697,143968965,continuous,Period: weeks,52,op_avg,Standard error,95,11998.70681
Female,10,14,Russian Federation,12.2378888,1.21911462,9.84846801,14.6273095,143968965,continuous,Period: weeks,52,op_avg,Standard error,95,11998.70681
Female,15,19,Russian Federation,12.2183066,1.2847694,9.70020483,14.7364084,143968965,continuous,Period: weeks,52,op_avg,Standard error,95,11998.70681
Female,20,24,Russian Federation,12.2681927,1.41144675,9.50180794,15.0345775,143968965,continuous,Period: weeks,52,op_avg,Standard error,95,11998.70681
Female,25,29,Russian Federation,12.3282081,1.40783678,9.56889877,15.0875175,143968965,continuous,Period: weeks,52,op_avg,Standard error,95,11998.70681
Female,30,34,Russian Federation,12.4730553,1.42688191,9.67641819,15.2696925,143968965,continuous,Period: weeks,52,op_avg,Standard error,95,11998.70681
Female,35,39,Russian Federation,12.7122948,1.25621984,10.2501491,15.1744404,143968965,continuous,Period: weeks,52,op_avg,Standard error,95,11998.70681
Female,40,44,Russian Federation,13.0380578,1.311294,10.4679688,15.6081469,143968965,continuous,Period: weeks,52,op_avg,Standard error,95,11998.70681
Female,45,49,Russian Federation,13.4031621,1.33279291,10.790936,16.0153882,143968965,continuous,Period: weeks,52,op_avg,Standard error,95,11998.70681
Female,50,54,Russian Federation,13.7485055,1.34390746,11.1144953,16.3825157,143968965,continuous,Period: weeks,52,op_avg,Standard error,95,11998.70681
Female,55,59,Russian Federation,14.0562835,1.44663863,11.2209239,16.8916431,143968965,continuous,Period: weeks,52,op_avg,Standard error,95,11998.70681
Female,60,64,Russian Federation,14.3506396,1.52284893,11.3659106,17.3353687,143968965,continuous,Period: weeks,52,op_avg,Standard error,95,11998.70681
Female,65,69,Russian Federation,14.6981288,1.43687934,11.8818971,17.5143606,143968965,continuous,Period: weeks,52,op_avg,Standard error,95,11998.70681
Female,70,74,Russian Federation,15.007976,1.40004852,12.2639314,17.7520207,143968965,continuous,Period: weeks,52,op_avg,Standard error,95,11998.70681
Female,75,79,Russian Federation,15.2537022,1.58678663,12.1436575,18.3637468,143968965,continuous,Period: weeks,52,op_avg,Standard error,95,11998.70681
Female,80,84,Russian Federation,15.5388697,1.68205136,12.2421096,18.8356298,143968965,continuous,Period: weeks,52,op_avg,Standard error,95,11998.70681
Female,85,89,Russian Federation,15.7742806,1.75193003,12.3405608,19.2080004,143968965,continuous,Period: weeks,52,op_avg,Standard error,95,11998.70681
Female,90,94,Russian Federation,15.9271951,1.80294959,12.3934789,19.4609114,143968965,continuous,Period: weeks,52,op_avg,Standard error,95,11998.70681
Female,95,100,Russian Federation,16.1212812,1.99680347,12.2076184,20.0349441,143968965,continuous,Period: weeks,52,op_avg,Standard error,95,11998.70681
Both,0,4,Malaysia,7.19,0.34693878,6.5100125,7.86998751,NA,continuous,Period: weeks,52,op_avg,Standard error,95,#VALUE!
Both,5,9,Malaysia,4.2,0.2755102,3.66000992,4.73999008,NA,continuous,Period: weeks,52,op_avg,Standard error,95,#VALUE!
Both,10,14,Malaysia,3.12,0.71428571,1.72002573,4.51997428,NA,continuous,Period: weeks,52,op_avg,Standard error,95,#VALUE!
Both,15,19,Malaysia,3.66,1.2244898,1.2600441,6.0599559,NA,continuous,Period: weeks,52,op_avg,Standard error,95,#VALUE!
Both,20,24,Malaysia,3.54,0.5,2.56001801,4.51998199,NA,continuous,Period: weeks,52,op_avg,Standard error,95,#VALUE!
Both,25,29,Malaysia,3.74,0.3622449,3.03001305,4.44998695,NA,continuous,Period: weeks,52,op_avg,Standard error,95,#VALUE!
Both,30,34,Malaysia,4.44,0.70408163,3.06002536,5.81997464,NA,continuous,Period: weeks,52,op_avg,Standard error,95,#VALUE!
Both,35,39,Malaysia,3.36,0.31122449,2.75001121,3.96998879,NA,continuous,Period: weeks,52,op_avg,Standard error,95,#VALUE!
Both,40,44,Malaysia,4.49,0.57653061,3.36002076,5.61997924,NA,continuous,Period: weeks,52,op_avg,Standard error,95,#VALUE!
Both,45,49,Malaysia,5.58,0.74489796,4.12002683,7.03997317,NA,continuous,Period: weeks,52,op_avg,Standard error,95,#VALUE!
Both,50,54,Malaysia,4.9,0.80102041,3.33002885,6.46997115,NA,continuous,Period: weeks,52,op_avg,Standard error,95,#VALUE!
Both,55,59,Malaysia,4.58,0.44897959,3.70001617,5.45998383,NA,continuous,Period: weeks,52,op_avg,Standard error,95,#VALUE!
Both,60,64,Malaysia,4.68,0.75510204,3.2000272,6.15997281,NA,continuous,Period: weeks,52,op_avg,Standard error,95,#VALUE!
Both,65,69,Malaysia,5.62,0.93367347,3.79003363,7.44996637,NA,continuous,Period: weeks,52,op_avg,Standard error,95,#VALUE!
Both,70,74,Malaysia,5.75,0.97959184,3.83003528,7.66996472,NA,continuous,Period: weeks,52,op_avg,Standard error,95,#VALUE!
Both,75,100,Malaysia,8.6,1.40306122,5.85005053,11.3499495,NA,continuous,Period: weeks,52,op_avg,Standard error,95,#VALUE!
Male,0,0.016,South Africa,2.67696698,0.35735329,1.9765674,3.37736656,51060295,continuous,Period: weeks,52,op_avg,Standard error,95,7145.648676
Male,0.016,0.076,South Africa,2.67377501,0.35122363,1.98538934,3.36216068,51060295,continuous,Period: weeks,52,op_avg,Standard error,95,7145.648676
Male,0.076,0.99,South Africa,2.63290143,0.36087874,1.9255921,3.34021076,51060295,continuous,Period: weeks,52,op_avg,Standard error,95,7145.648676
Male,1,4,South Africa,2.39087087,0.29651332,1.80971544,2.97202629,51060295,continuous,Period: weeks,52,op_avg,Standard error,95,7145.648676
Male,5,9,South Africa,1.96785304,0.28437214,1.41049389,2.5252122,51060295,continuous,Period: weeks,52,op_avg,Standard error,95,7145.648676
Male,10,14,South Africa,1.63203032,0.25386408,1.13446587,2.12959477,51060295,continuous,Period: weeks,52,op_avg,Standard error,95,7145.648676
Male,15,19,South Africa,1.50281578,0.25216624,1.00857902,1.99705253,51060295,continuous,Period: weeks,52,op_avg,Standard error,95,7145.648676
Male,20,24,South Africa,1.59033088,0.273196,1.05487655,2.1257852,51060295,continuous,Period: weeks,52,op_avg,Standard error,95,7145.648676
Male,25,29,South Africa,1.87727435,0.29741176,1.29435801,2.46019069,51060295,continuous,Period: weeks,52,op_avg,Standard error,95,7145.648676
Male,30,34,South Africa,2.28432565,0.38416607,1.53137399,3.03727732,51060295,continuous,Period: weeks,52,op_avg,Standard error,95,7145.648676
Male,35,39,South Africa,2.75454253,0.41919248,1.93294037,3.57614468,51060295,continuous,Period: weeks,52,op_avg,Standard error,95,7145.648676
Male,40,44,South Africa,3.25093084,0.4775761,2.31489888,4.1869628,51060295,continuous,Period: weeks,52,op_avg,Standard error,95,7145.648676
Male,45,49,South Africa,3.7134472,0.56270075,2.610574,4.81632041,51060295,continuous,Period: weeks,52,op_avg,Standard error,95,7145.648676
Male,50,54,South Africa,4.25670737,0.60716616,3.06668356,5.44673118,51060295,continuous,Period: weeks,52,op_avg,Standard error,95,7145.648676
Male,55,59,South Africa,4.88383597,0.69798198,3.51581643,6.25185552,51060295,continuous,Period: weeks,52,op_avg,Standard error,95,7145.648676
Male,60,64,South Africa,5.43892627,0.89449178,3.6857546,7.19209795,51060295,continuous,Period: weeks,52,op_avg,Standard error,95,7145.648676
Male,65,69,South Africa,5.92137412,0.9311378,4.09637757,7.74637068,51060295,continuous,Period: weeks,52,op_avg,Standard error,95,7145.648676
Male,70,74,South Africa,6.48268831,0.97873108,4.56441064,8.40096599,51060295,continuous,Period: weeks,52,op_avg,Standard error,95,7145.648676
Male,75,79,South Africa,6.99363,1.03644204,4.96224094,9.02501907,51060295,continuous,Period: weeks,52,op_avg,Standard error,95,7145.648676
Male,80,84,South Africa,7.27321949,1.05018563,5.21489349,9.3315455,51060295,continuous,Period: weeks,52,op_avg,Standard error,95,7145.648676
Male,85,89,South Africa,7.45039752,1.02220669,5.44690922,9.45388582,51060295,continuous,Period: weeks,52,op_avg,Standard error,95,7145.648676
Male,90,94,South Africa,7.85174117,1.25080388,5.40021061,10.3032717,51060295,continuous,Period: weeks,52,op_avg,Standard error,95,7145.648676
Male,95,100,South Africa,8.54967891,1.62295471,5.36874613,11.7306117,51060295,continuous,Period: weeks,52,op_avg,Standard error,95,7145.648676
Female,0,0.016,South Africa,2.62594985,0.33946865,1.96060353,3.29129618,51060295,continuous,Period: weeks,52,op_avg,Standard error,95,7145.648676
Female,0.016,0.076,South Africa,2.62388807,0.3379922,1.96143553,3.2863406,51060295,continuous,Period: weeks,52,op_avg,Standard error,95,7145.648676
Female,0.076,0.99,South Africa,2.59754239,0.31720748,1.97582716,3.21925762,51060295,continuous,Period: weeks,52,op_avg,Standard error,95,7145.648676
Female,1,4,South Africa,2.45614123,0.30443649,1.85945667,3.05282578,51060295,continuous,Period: weeks,52,op_avg,Standard error,95,7145.648676
Female,5,9,South Africa,2.20414931,0.31853547,1.57983126,2.82846736,51060295,continuous,Period: weeks,52,op_avg,Standard error,95,7145.648676
Female,10,14,South Africa,2.03422907,0.30959597,1.42743213,2.64102602,51060295,continuous,Period: weeks,52,op_avg,Standard error,95,7145.648676
Female,15,19,South Africa,2.09276685,0.34759039,1.4115022,2.77403149,51060295,continuous,Period: weeks,52,op_avg,Standard error,95,7145.648676
Female,20,24,South Africa,2.38936977,0.3883433,1.6282309,3.15050864,51060295,continuous,Period: weeks,52,op_avg,Standard error,95,7145.648676
Female,25,29,South Africa,2.88149423,0.40989828,2.07810836,3.68488009,51060295,continuous,Period: weeks,52,op_avg,Standard error,95,7145.648676
Female,30,34,South Africa,3.45110928,0.50841777,2.45462877,4.44758979,51060295,continuous,Period: weeks,52,op_avg,Standard error,95,7145.648676
Female,35,39,South Africa,4.0034887,0.54389681,2.93747054,5.06950686,51060295,continuous,Period: weeks,52,op_avg,Standard error,95,7145.648676
Female,40,44,South Africa,4.5602598,0.63411891,3.31740957,5.80311002,51060295,continuous,Period: weeks,52,op_avg,Standard error,95,7145.648676
Female,45,49,South Africa,5.10502243,0.71546698,3.70273291,6.50731195,51060295,continuous,Period: weeks,52,op_avg,Standard error,95,7145.648676
Female,50,54,South Africa,5.73413898,0.7804608,4.20446391,7.26381404,51060295,continuous,Period: weeks,52,op_avg,Standard error,95,7145.648676
Female,55,59,South Africa,6.39514369,0.90321017,4.62488429,8.16540309,51060295,continuous,Period: weeks,52,op_avg,Standard error,95,7145.648676
Female,60,64,South Africa,6.90486655,1.02288041,4.90005778,8.90967532,51060295,continuous,Period: weeks,52,op_avg,Standard error,95,7145.648676
Female,65,69,South Africa,7.33504671,1.09457642,5.18971635,9.48037707,51060295,continuous,Period: weeks,52,op_avg,Standard error,95,7145.648676
Female,70,74,South Africa,7.76740143,1.08369345,5.6434013,9.89140155,51060295,continuous,Period: weeks,52,op_avg,Standard error,95,7145.648676
Female,75,79,South Africa,8.06623949,1.15956961,5.79352481,10.3389542,51060295,continuous,Period: weeks,52,op_avg,Standard error,95,7145.648676
Female,80,84,South Africa,8.14526333,1.16397723,5.86390987,10.4266168,51060295,continuous,Period: weeks,52,op_avg,Standard error,95,7145.648676
Female,85,89,South Africa,7.94635649,1.10388529,5.78278108,10.1099319,51060295,continuous,Period: weeks,52,op_avg,Standard error,95,7145.648676
Female,90,94,South Africa,7.60884996,1.20804064,5.24113381,9.97656612,51060295,continuous,Period: weeks,52,op_avg,Standard error,95,7145.648676
Female,95,100,South Africa,7.54819843,1.42333178,4.7585194,10.3378775,51060295,continuous,Period: weeks,52,op_avg,Standard error,95,7145.648676
Female,15,20,Ghana,1.5,0.69721669,0.1334804,2.8665196,6,continuous,Period: weeks,52,op_avg,Standard error,95,2.449489743
Male,15,20,Ghana,1.28571429,0.43840358,0.42645907,2.14496951,384,continuous,Period: weeks,52,op_avg,Standard error,95,19.59591794
Female,20,25,Ghana,1.38095238,0.45341851,0.49226843,2.26963633,7,continuous,Period: weeks,52,op_avg,Standard error,95,2.645751311
Male,20,25,Ghana,1,0.35988895,0.29463063,1.70536937,272,continuous,Period: weeks,52,op_avg,Standard error,95,16.4924225
Female,25,30,Ghana,1.48275862,0.3402491,0.81588263,2.14963461,21,continuous,Period: weeks,52,op_avg,Standard error,95,4.582575695
Male,25,30,Ghana,1.51219512,0.28766502,0.94838205,2.07600819,324,continuous,Period: weeks,52,op_avg,Standard error,95,18
Female,30,35,Ghana,1.48979592,0.30998601,0.88223451,2.09735733,13,continuous,Period: weeks,52,op_avg,Standard error,95,3.605551275
Male,30,35,Ghana,1.42372881,0.30470147,0.82652492,2.02093271,236,continuous,Period: weeks,52,op_avg,Standard error,95,15.3622915
Female,35,40,Ghana,1.79710145,0.32591628,1.15831729,2.43588561,29,continuous,Period: weeks,52,op_avg,Standard error,95,5.385164807
Male,35,40,Ghana,1.34384875,0.17326188,1.00426171,1.6834358,278,continuous,Period: weeks,52,op_avg,Standard error,95,16.673332
Female,40,45,Ghana,1.48,0.17379307,1.13937184,1.82062816,41,continuous,Period: weeks,52,op_avg,Standard error,95,6.403124237
Male,40,45,Ghana,1.52761324,0.2456379,1.0461718,2.00905467,321,continuous,Period: weeks,52,op_avg,Standard error,95,17.91647287
Female,45,50,Ghana,2.125,0.31594798,1.50575334,2.74424666,49,continuous,Period: weeks,52,op_avg,Standard error,95,7
Male,45,50,Ghana,1.2815534,0.20523508,0.87930003,1.68380677,252,continuous,Period: weeks,52,op_avg,Standard error,95,15.87450787
Female,50,55,Ghana,1.68189242,0.12603057,1.43487705,1.92890779,59,continuous,Period: weeks,52,op_avg,Standard error,95,7.681145748
Male,50,55,Ghana,1.50445375,0.12594061,1.25761469,1.7512928,183,continuous,Period: weeks,52,op_avg,Standard error,95,13.52774926
Female,55,60,Ghana,1.8723841,0.16530098,1.54840014,2.19636807,69,continuous,Period: weeks,52,op_avg,Standard error,95,8.306623863
Male,55,60,Ghana,1.78831505,0.14286455,1.50830568,2.06832442,157,continuous,Period: weeks,52,op_avg,Standard error,95,12.52996409
Female,60,65,Ghana,2.08088235,0.16925395,1.74915071,2.41261399,86,continuous,Period: weeks,52,op_avg,Standard error,95,9.273618495
Male,60,65,Ghana,1.75352465,0.15291359,1.45381951,2.05322978,112,continuous,Period: weeks,52,op_avg,Standard error,95,10.58300524
Female,65,70,Ghana,2.04661017,0.19021278,1.67379997,2.41942037,75,continuous,Period: weeks,52,op_avg,Standard error,95,8.660254038
Male,65,70,Ghana,2.43935966,0.22621619,1.99598408,2.88273524,90,continuous,Period: weeks,52,op_avg,Standard error,95,9.486832981
